Min Age,Max Age,Profession,PartnerStatus,SA4 CODE,SA4 (Region name),Tot_inc_amt,Help_debt
15,19,Community and Personal Service Workers,No,307,Darling Downs - Maranoa,21432,0
15,19,Community and Personal Service Workers,No,308,Fitzroy,22247,861
15,19,Community and Personal Service Workers,No,309,Gold Coast,21110,2996
15,19,Community and Personal Service Workers,No,310,Ipswich,16670,3209
15,19,Community and Personal Service Workers,No,311,Logan - Beaudesert,16756,0
15,19,Community and Personal Service Workers,No,312,Mackay,9817,1080
15,19,Community and Personal Service Workers,No,313,Moreton Bay - North,19432,1997
15,19,Community and Personal Service Workers,No,314,Moreton Bay - South,15983,1662
15,19,Community and Personal Service Workers,No,315,Queensland - Outback,13774,2332
15,19,Community and Personal Service Workers,No,316,Sunshine Coast,15511,3447
15,19,Community and Personal Service Workers,No,317,Toowoomba,16006,1844
15,19,Community and Personal Service Workers,No,318,Townsville,15253,3327
15,19,Community and Personal Service Workers,No,319,Wide Bay,19074,1014
15,19,Community and Personal Service Workers,No,401,Adelaide - Central and Hills,18753,2289
15,19,Community and Personal Service Workers,No,402,Adelaide - North,19577,1710
15,19,Community and Personal Service Workers,No,403,Adelaide - South,17257,353
15,19,Community and Personal Service Workers,No,404,Adelaide - West,13503,3367
15,19,Community and Personal Service Workers,No,405,Barossa - Yorke - Mid North,27264,3291
15,19,Community and Personal Service Workers,No,406,South Australia - Outback,22357,1010
15,19,Community and Personal Service Workers,No,407,South Australia - South East,10368,0
15,19,Community and Personal Service Workers,No,501,Bunbury,18470,1437
15,19,Community and Personal Service Workers,No,502,Mandurah,17068,2283
15,19,Community and Personal Service Workers,No,503,Perth - Inner,15440,2910
15,19,Community and Personal Service Workers,No,504,Perth - North East,26305,1944
15,19,Community and Personal Service Workers,No,505,Perth - North West,14155,2929
15,19,Community and Personal Service Workers,No,506,Perth - South East,20061,2427
15,19,Community and Personal Service Workers,No,507,Perth - South West,15857,1819
15,19,Community and Personal Service Workers,No,508,Western Australia - Outback,19453,1714
15,19,Community and Personal Service Workers,No,509,Western Australia - Wheat Belt,20688,831
15,19,Community and Personal Service Workers,No,601,Hobart,20472,0
15,19,Community and Personal Service Workers,No,602,Launceston and North East,16151,0
15,19,Community and Personal Service Workers,No,604,West and North West,13882,0
15,19,Community and Personal Service Workers,No,701,Darwin,18220,926
15,19,Community and Personal Service Workers,No,702,Northern Territory - Outback,15742,0
15,19,Community and Personal Service Workers,No,801,Australian Capital Territory,20098,1814
15,19,Community and Personal Service Workers,No,#N/A,Unknown/Overseas,7409,286
15,19,Community and Personal Service Workers,Yes,108,Mid North Coast,83607,8137
15,19,Community and Personal Service Workers,Yes,205,Latrobe - Gippsland,8164,13086
15,19,Community and Personal Service Workers,Yes,301,Brisbane - East,16678,9914
15,19,Community and Personal Service Workers,Yes,502,Mandurah,10329,9099
15,19,Community and Personal Service Workers,Yes,602,Launceston and North East,30373,16520
15,19,Community and Personal Service Workers,Yes,702,Northern Territory - Outback,49924,5514
15,19,Labourers,No,101,Capital Region,15473,539
15,19,Labourers,No,102,Central Coast,18840,0
15,19,Labourers,No,103,Central West,18801,1012
15,19,Labourers,No,104,Coffs Harbour - Grafton,17447,1053
15,19,Labourers,No,105,Far West and Orana,14416,0
15,19,Labourers,No,106,Hunter Valley exc Newcastle,15854,282
15,19,Labourers,No,107,Illawarra,10322,660
15,19,Labourers,No,108,Mid North Coast,18218,0
15,19,Labourers,No,109,Murray,15378,0
15,19,Labourers,No,110,New England and North West,19282,0
15,19,Labourers,No,111,Newcastle and Lake Macquarie,10801,0
15,19,Labourers,No,112,Richmond - Tweed,10764,0
15,19,Labourers,No,113,Riverina,23401,626
15,19,Labourers,No,114,Southern Highlands and Shoalhaven,16353,0
15,19,Labourers,No,115,Sydney - Baulkham Hills and Hawkesbury,14017,2281
15,19,Labourers,No,116,Sydney - Blacktown,19674,0
15,19,Labourers,No,117,Sydney - City and Inner South,8863,0
15,19,Labourers,No,118,Sydney - Eastern Suburbs,28470,3472
15,19,Labourers,No,119,Sydney - Inner South West,16409,634
15,19,Labourers,No,120,Sydney - Inner West,13475,1034
15,19,Labourers,No,121,Sydney - North Sydney and Hornsby,12484,0
15,19,Labourers,No,122,Sydney - Northern Beaches,21518,0
15,19,Labourers,No,123,Sydney - Outer South West,24446,0
15,19,Labourers,No,124,Sydney - Outer West and Blue Mountains,14622,854
15,19,Labourers,No,125,Sydney - Parramatta,12837,1431
15,19,Labourers,No,126,Sydney - Ryde,5987,0
15,19,Labourers,No,127,Sydney - South West,16717,1139
15,19,Labourers,No,128,Sydney - Sutherland,11484,0
15,19,Labourers,No,201,Ballarat,15090,804
15,19,Labourers,No,202,Bendigo,12210,0
15,19,Labourers,No,203,Geelong,11305,1539
15,19,Labourers,No,204,Hume,12793,0
