State,Year,Month,Vacancies
SA,2002,8,7800
SA,2002,11,5200
SA,2003,2,7100
SA,2003,5,5800
SA,2003,8,6400
SA,2003,11,4000
SA,2004,2,5500
SA,2004,5,6000
SA,2004,8,7000
SA,2004,11,7500
SA,2005,2,8800
SA,2005,5,7400
SA,2005,8,8800
SA,2005,11,8700
SA,2006,2,8400
SA,2006,5,10800
SA,2006,8,9000
SA,2006,11,9400
SA,2007,2,9900
SA,2007,5,10200
SA,2007,8,10000
SA,2007,11,9400
SA,2008,2,9800
SA,2008,5,8600
SA,2008,8,0
SA,2008,11,0
SA,2009,2,0
SA,2009,5,0
SA,2009,8,0
SA,2009,11,11000
SA,2010,2,13300
SA,2010,5,14300
SA,2010,8,13300
SA,2010,11,16600
SA,2011,2,10700
SA,2011,5,10400
SA,2011,8,8900
SA,2011,11,8600
SA,2012,2,10800
SA,2012,5,10400
SA,2012,8,11100
SA,2012,11,10800
SA,2013,2,8500
SA,2013,5,6000
SA,2013,8,7500
SA,2013,11,6700
SA,2014,2,7500
SA,2014,5,8100
SA,2014,8,8800
SA,2014,11,8300
SA,2015,2,8300
SA,2015,5,8800
SA,2015,8,9200
SA,2015,11,10200
SA,2016,2,9800
SA,2016,5,8700
WA,1979,5,0
WA,1979,8,0
WA,1979,11,0
WA,1980,2,0
WA,1980,5,0
WA,1980,8,0
WA,1980,11,0
WA,1981,2,0
WA,1981,5,0
WA,1981,8,0
WA,1981,11,0
WA,1982,2,0
WA,1982,5,0
WA,1982,8,0
WA,1982,11,0
WA,1983,2,0
WA,1983,5,0
WA,1983,8,0
WA,1983,11,4300
WA,1984,2,0
WA,1984,5,400
WA,1984,8,3500
WA,1984,11,5000
WA,1985,2,6800
WA,1985,5,5100
WA,1985,8,5700
WA,1985,11,4800
WA,1986,2,4800
WA,1986,5,5100
WA,1986,8,5700
WA,1986,11,5200
WA,1987,2,7300
WA,1987,5,6800
WA,1987,8,6100
WA,1987,11,7600
WA,1988,2,7600
WA,1988,5,6000
WA,1988,8,5400
WA,1988,11,5800
WA,1989,2,9500
WA,1989,5,5600
WA,1989,8,5700
WA,1989,11,4500
WA,1990,2,5600
WA,1990,5,3400
WA,1990,8,3800
WA,1990,11,2500
WA,1991,2,2600
WA,1991,5,2700
WA,1991,8,1900
WA,1991,11,2900
WA,1992,2,1600
WA,1992,5,4200
WA,1992,8,4000
WA,1992,11,4200
WA,1993,2,5600
WA,1993,5,3200
WA,1993,8,5100
WA,1993,11,5500
WA,1994,2,6200
WA,1994,5,5800
WA,1994,8,7700
WA,1994,11,8500
WA,1995,2,6200
WA,1995,5,8300
WA,1995,8,6500
WA,1995,11,9100
WA,1996,2,9200
WA,1996,5,7000
WA,1996,8,10000
WA,1996,11,11700
WA,1997,2,10300
WA,1997,5,11400
WA,1997,8,9400
WA,1997,11,8000
WA,1998,2,10100
WA,1998,5,14800
WA,1998,8,8400
WA,1998,11,9200
WA,1999,2,8200
WA,1999,5,8900
WA,1999,8,10000
WA,1999,11,8900
WA,2000,2,12400
WA,2000,5,8400
WA,2000,8,11300
WA,2000,11,9200
