State/Territory,Region Name,Industry,Industry Division,Employment by Industry - Total,Full-Time,Part-Time,Male,Female,Employment Distribution (%)
NT,Northern Territory,Manufacturing,C,3600,3000,600,2900,800,2.7
NT,Northern Territory,"Electricity, Gas, Water and Waste Services",D,2300,2300,100,1800,600,1.7
NT,Northern Territory,Construction,E,15500,14100,1400,13600,1900,11.7
NT,Northern Territory,Wholesale Trade,F,3000,2500,500,2100,900,2.3
NT,Northern Territory,Retail Trade,G,10000,6100,3900,4700,5300,7.5
NT,Northern Territory,Accommodation and Food Services,H,9200,5500,3700,3900,5300,6.9
NT,Northern Territory,"Transport, Postal and Warehousing",I,6700,5400,1300,4800,1900,5.0
NT,Northern Territory,Information Media and Telecommunications,J,1100,900,100,700,300,0.8
NT,Northern Territory,Financial and Insurance Services,K,1500,1400,200,400,1100,1.1
NT,Northern Territory,"Rental, Hiring and Real Estate Services",L,2400,2100,300,1100,1300,1.8
NT,Northern Territory,"Professional, Scientific and Technical Services",M,6500,5700,800,4100,2400,4.9
NT,Northern Territory,Administrative and Support Services,N,4000,2600,1400,2200,1900,3.0
NT,Northern Territory,Public Administration and Safety,O,23700,20600,3100,11000,12800,17.8
NT,Northern Territory,Education and Training,P,11300,8800,2400,3600,7700,8.5
NT,Northern Territory,Health Care and Social Assistance,Q,15400,11700,3700,3600,11800,11.6
NT,Northern Territory,Arts and Recreation Services,R,3400,2200,1200,1800,1600,2.6
NT,Northern Territory,Other Services,S,6200,5100,1100,3600,2600,4.7
ACT,Australian Capital Territory,"Agriculture, Forestry and Fishing",A,900,500,400,700,200,0.4
ACT,Australian Capital Territory,Mining,B,0,0,0,0,0,0.0
ACT,Australian Capital Territory,Manufacturing,C,4500,3500,1000,3500,1000,2.1
ACT,Australian Capital Territory,"Electricity, Gas, Water and Waste Services",D,1800,1700,100,1500,300,0.9
ACT,Australian Capital Territory,Construction,E,14400,12600,1800,13200,1200,6.9
ACT,Australian Capital Territory,Wholesale Trade,F,2300,1900,400,1600,800,1.1
ACT,Australian Capital Territory,Retail Trade,G,15400,7100,8300,6700,8700,7.3
ACT,Australian Capital Territory,Accommodation and Food Services,H,13800,6500,7300,8000,5800,6.6
ACT,Australian Capital Territory,"Transport, Postal and Warehousing",I,5700,4400,1200,4600,1100,2.7
ACT,Australian Capital Territory,Information Media and Telecommunications,J,3800,3300,600,1900,2000,1.8
ACT,Australian Capital Territory,Financial and Insurance Services,K,4800,3800,1000,1600,3200,2.3
ACT,Australian Capital Territory,"Rental, Hiring and Real Estate Services",L,2900,2500,400,1900,1000,1.4
ACT,Australian Capital Territory,"Professional, Scientific and Technical Services",M,21200,17100,4100,12800,8300,10.1
ACT,Australian Capital Territory,Administrative and Support Services,N,6400,3700,2700,3100,3300,3.0
ACT,Australian Capital Territory,Public Administration and Safety,O,62500,55300,7100,29900,32600,29.7
ACT,Australian Capital Territory,Education and Training,P,17400,10800,6600,5400,12000,8.3
ACT,Australian Capital Territory,Health Care and Social Assistance,Q,21600,13300,8400,4600,17000,10.3
ACT,Australian Capital Territory,Arts and Recreation Services,R,4100,2400,1800,1800,2400,2.0
ACT,Australian Capital Territory,Other Services,S,6700,4200,2600,3300,3500,3.2
