SA4 Code,SA4 Name,Field,Number Of People
115,Sydney - Baulkham Hills and Hawkesbury,"Agriculture, Environmental & Related Studies",1422
116,Sydney - Blacktown,"Agriculture, Environmental & Related Studies",1146
117,Sydney - City and Inner South,"Agriculture, Environmental & Related Studies",1162
118,Sydney - Eastern Suburbs,"Agriculture, Environmental & Related Studies",1044
119,Sydney - Inner South West,"Agriculture, Environmental & Related Studies",1266
120,Sydney - Inner West,"Agriculture, Environmental & Related Studies",1023
121,Sydney - North Sydney and Hornsby,"Agriculture, Environmental & Related Studies",1879
122,Sydney - Northern Beaches,"Agriculture, Environmental & Related Studies",1630
123,Sydney - Outer South West,"Agriculture, Environmental & Related Studies",1185
124,Sydney - Outer West and Blue Mountains,"Agriculture, Environmental & Related Studies",1864
125,Sydney - Parramatta,"Agriculture, Environmental & Related Studies",1153
126,Sydney - Ryde,"Agriculture, Environmental & Related Studies",746
127,Sydney - South West,"Agriculture, Environmental & Related Studies",757
128,Sydney - Sutherland,"Agriculture, Environmental & Related Studies",1050
201,Ballarat,"Agriculture, Environmental & Related Studies",1527
202,Bendigo,"Agriculture, Environmental & Related Studies",1711
203,Geelong,"Agriculture, Environmental & Related Studies",2030
204,Hume,"Agriculture, Environmental & Related Studies",2365
205,Latrobe - Gippsland,"Agriculture, Environmental & Related Studies",3217
206,Melbourne - Inner,"Agriculture, Environmental & Related Studies",2884
207,Melbourne - Inner East,"Agriculture, Environmental & Related Studies",1336
208,Melbourne - Inner South,"Agriculture, Environmental & Related Studies",1668
209,Melbourne - North East,"Agriculture, Environmental & Related Studies",2128
210,Melbourne - North West,"Agriculture, Environmental & Related Studies",1328
211,Melbourne - Outer East,"Agriculture, Environmental & Related Studies",3491
212,Melbourne - South East,"Agriculture, Environmental & Related Studies",3009
213,Melbourne - West,"Agriculture, Environmental & Related Studies",2249
214,Mornington Peninsula,"Agriculture, Environmental & Related Studies",2105
215,North West,"Agriculture, Environmental & Related Studies",2912
216,Shepparton,"Agriculture, Environmental & Related Studies",1860
217,Warrnambool and South West,"Agriculture, Environmental & Related Studies",2590
301,Brisbane - East,"Agriculture, Environmental & Related Studies",1151
302,Brisbane - North,"Agriculture, Environmental & Related Studies",887
303,Brisbane - South,"Agriculture, Environmental & Related Studies",1483
304,Brisbane - West,"Agriculture, Environmental & Related Studies",1110
305,Brisbane Inner City,"Agriculture, Environmental & Related Studies",1374
306,Cairns,"Agriculture, Environmental & Related Studies",1786
307,Darling Downs - Maranoa,"Agriculture, Environmental & Related Studies",2025
308,Fitzroy,"Agriculture, Environmental & Related Studies",1499
309,Gold Coast,"Agriculture, Environmental & Related Studies",2661
310,Ipswich,"Agriculture, Environmental & Related Studies",1452
311,Logan - Beaudesert,"Agriculture, Environmental & Related Studies",1203
312,Mackay,"Agriculture, Environmental & Related Studies",1023
313,Moreton Bay - North,"Agriculture, Environmental & Related Studies",1095
314,Moreton Bay - South,"Agriculture, Environmental & Related Studies",971
315,Queensland - Outback,"Agriculture, Environmental & Related Studies",971
316,Sunshine Coast,"Agriculture, Environmental & Related Studies",2522
317,Toowoomba,"Agriculture, Environmental & Related Studies",1355
318,Townsville,"Agriculture, Environmental & Related Studies",1257
319,Wide Bay,"Agriculture, Environmental & Related Studies",1992
401,Adelaide - Central and Hills,"Agriculture, Environmental & Related Studies",2058
402,Adelaide - North,"Agriculture, Environmental & Related Studies",1770
403,Adelaide - South,"Agriculture, Environmental & Related Studies",2157
404,Adelaide - West,"Agriculture, Environmental & Related Studies",982
405,Barossa - Yorke - Mid North,"Agriculture, Environmental & Related Studies",1513
406,South Australia - Outback,"Agriculture, Environmental & Related Studies",815
407,South Australia - South East,"Agriculture, Environmental & Related Studies",2729
501,Bunbury,"Agriculture, Environmental & Related Studies",1714
502,Mandurah,"Agriculture, Environmental & Related Studies",462
503,Perth - Inner,"Agriculture, Environmental & Related Studies",977
504,Perth - North East,"Agriculture, Environmental & Related Studies",1222
505,Perth - North West,"Agriculture, Environmental & Related Studies",2326
506,Perth - South East,"Agriculture, Environmental & Related Studies",2431
507,Perth - South West,"Agriculture, Environmental & Related Studies",2193
508,Western Australia - Outback,"Agriculture, Environmental & Related Studies",2092
509,Western Australia - Wheat Belt,"Agriculture, Environmental & Related Studies",2539
601,Hobart,"Agriculture, Environmental & Related Studies",1625
602,Launceston and North East,"Agriculture, Environmental & Related Studies",1506
603,South East,"Agriculture, Environmental & Related Studies",603
604,West and North West,"Agriculture, Environmental & Related Studies",1082
701,Darwin,"Agriculture, Environmental & Related Studies",1056
702,Northern Territory - Outback,"Agriculture, Environmental & Related Studies",814
801,Australian Capital Territory,"Agriculture, Environmental & Related Studies",2794
101,Capital Region,Health,5742
102,Central Coast,Health,9771
103,Central West,Health,5808
104,Coffs Harbour - Grafton,Health,4134
105,Far West and Orana,Health,3217
106,Hunter Valley exc Newcastle,Health,6670
107,Illawarra,Health,8230
108,Mid North Coast,Health,6283
109,Murray,Health,3397
